y_true,y_pred,abs_error,abs_error_percetage,nll,v,alpha,beta,abs_error_percentage
-97.0,-104.942215,7.9422149658203125,7.9422149658203125,0.008352727,0.0019467353,1.001482,0.00014173992,8.187850480227127
-91.0,-83.72342,7.276580810546875,7.276580810546875,0.36766967,0.0035492964,1.032043,1.5552561e-05,7.9962426489526095
-83.0,-76.78737,6.2126312255859375,6.2126312255859375,-0.22337726,0.005594024,1.0324131,4.3581444e-05,7.485097862151732
-90.0,-83.27283,6.7271728515625,6.7271728515625,0.16297314,0.003977411,1.0379139,1.848376e-05,7.474636501736111
-44.0,-40.77165,3.228351593017578,3.228351593017578,0.37744775,0.015167704,1.4774165,8.486165e-06,7.337162711403587
-90.0,-83.48109,6.518913269042969,6.518913269042969,0.35949695,0.0032666074,1.0401601,9.940998e-06,7.243236965603298
-83.0,-77.215,5.785003662109375,5.785003662109375,-0.20660469,0.005236137,1.0420202,2.8065308e-05,6.969883930252259
-95.0,-101.15627,6.156272888183594,6.156272888183594,-0.3076946,0.0019637062,1.0087156,1.9844283e-05,6.480287250719573
-81.0,-75.87544,5.1245574951171875,5.1245574951171875,0.11964522,0.005557104,1.106476,1.1303864e-05,6.326614191502701
10.0,10.629226,0.6292257308959961,0.6292257308959961,-2.3906379,0.0075681647,1.0131208,5.5978308e-06,6.292257308959961
12.0,11.2539625,0.746037483215332,0.746037483215332,-2.3984954,0.001846791,1.0235633,1.0281242e-06,6.216979026794434
-64.0,-60.10507,3.8949317932128906,3.8949317932128906,0.9041351,0.00812127,1.3971447,4.452421e-06,6.085830926895142
21.0,22.2088,1.2087993621826172,1.2087993621826172,-1.9291375,0.0009927244,1.0001999,1.2987118e-06,5.756187438964844
-83.0,-78.27852,4.7214813232421875,4.7214813232421875,-0.4034645,0.004719165,1.0543118,1.6764847e-05,5.688531714749623
-35.0,-33.108955,1.8910446166992188,1.8910446166992188,-1.550777,0.026614258,1.2537836,8.785552e-05,5.402984619140625
-128.0,-121.17179,6.828208923339844,6.828208923339844,0.14182857,0.00018994586,1.0680866,1.0036405e-06,5.334538221359253
-91.0,-86.1589,4.841102600097656,4.841102600097656,0.59243083,0.002853795,1.131543,2.776752e-06,5.319892967140282
-91.0,-86.20142,4.798576354980469,4.798576354980469,0.65183747,0.002613883,1.131546,2.315855e-06,5.273160829648867
-75.0,-71.09511,3.9048919677734375,3.9048919677734375,-0.7875618,0.0007160928,1.0004301,8.090451e-06,5.206522623697917
-95.0,-99.72625,4.726249694824219,4.726249694824219,-0.3095594,0.0012764805,1.0180693,3.608417e-06,4.974999678762336
28.0,29.387205,1.3872051239013672,1.3872051239013672,-1.8945091,0.0009328437,1.2337484,1.0001047e-06,4.954304013933454
-86.0,-81.78144,4.218559265136719,4.218559265136719,-0.74580544,0.004634524,1.0293994,3.5210498e-05,4.905301471089208
-90.0,-85.76376,4.236236572265625,4.236236572265625,-0.5477489,0.0025368966,1.0264263,7.782242e-06,4.706929524739583
-74.0,-70.64331,3.356689453125,3.356689453125,-0.5505803,0.0032490501,1.066586,4.002252e-06,4.536066828547297
26.0,27.153421,1.153421401977539,1.153421401977539,-2.0232997,0.0032205877,1.0040729,1.4799323e-06,4.436236161452073
-89.0,-92.94502,3.9450225830078125,3.9450225830078125,-0.7259656,0.0032605126,1.0107018,5.1179664e-05,4.432609643829003
81.0,84.55697,3.5569686889648438,3.5569686889648438,-0.8371652,0.00033820566,1.0000042,1.0466938e-06,4.3913193690923995
-7.0,-7.307105,0.30710506439208984,0.30710506439208984,-3.461564,0.009248912,2.0561574,1.0912631e-06,4.387215205601284
-59.0,-61.498547,2.498546600341797,2.498546600341797,-1.0838785,0.010653652,1.0483348,0.00010377024,4.234824746342029
-14.0,-13.408908,0.5910921096801758,0.5910921096801758,-2.684507,0.025318285,1.4310658,1.2129002e-05,4.222086497715542
-85.0,-88.58289,3.5828933715820312,3.5828933715820312,-0.8426435,0.0027427857,1.0232424,9.130882e-06,4.215168672449448
-91.0,-87.32641,3.6735916137695312,3.6735916137695312,-0.87543875,0.003174572,1.0258558,1.6120997e-05,4.036913861285199
-60.0,-62.364166,2.364166259765625,2.364166259765625,-1.1922196,0.0011357851,1.0243843,1.2922087e-06,3.940277099609375
-65.0,-67.54207,2.5420684814453125,2.5420684814453125,-1.259515,0.0073651248,1.07429,2.7898823e-05,3.9108745868389425
