"C, wt.%","Si, wt.%","Mn, wt.%","P, wt.%","S, wt.%","Ni, wt.%","Cr, wt.%","Mo, wt.%","Al, wt.%","N, wt.%","Ti, wt.%","Fe, wt.%","Nb, wt.%","B, wt.%","Cu, wt.%","V, wt.%","Zr, wt.%","W, wt.%","Sn, wt.%","Co, wt.%","O, wt,%","Ta, wt.%","As, wt%","Sb, wt.%",Length (mm),Width (mm),Thickness (mm),Test Temperature (C) ,Impact energy (J),DBTT,USE
0.2,0.23,1.35,0.012,0.015,0.75,0.2,0.5,0.0,0.0,0.0,96.623,0.0,0.0,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-100.999544072948,6.25,-49.0,214.6217922449976
0.211,0.0,0.323,0.002,0.0,3.64,2.47,0.0,0.0,0.0,0.0,93.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,24.8289345063538,130.254350736278,21.0,213.513431663421
0.19,0.26,1.27,0.0,0.0,0.38,0.22,0.08,0.02,0.0,0.0,97.482,0.0,0.0,0.05,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-40.2640264026402,126.020408163265,-18.0,374.8011618173852
0.22,0.22,1.27,0.013,0.013,0.59,0.11,0.57,0.021,0.006,0.01,96.7756,0.0,0.0004,0.15,0.001,0.001,0.01,0.009,0.01,0.0,0.0,0.0,0.0,55.0,10.0,10.0,150.0,132.664756446991,7.26,144.060117226837
0.19,0.0,0.3,0.0,0.0,3.59,1.79,0.49,0.0,0.0,0.0,93.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-104.730983302411,92.170818505338,-91.0,232.8814549123802
0.22,0.22,1.27,0.013,0.013,0.59,0.11,0.57,0.021,0.006,0.01,96.7756,0.0,0.0004,0.15,0.001,0.001,0.01,0.009,0.01,0.0,0.0,0.0,0.0,55.0,10.0,10.0,109.246575342465,109.010339734121,19.71,101.8237300962357
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,149.189189189189,141.863354037267,6.48,144.3268938419781
0.22,0.53,1.35,0.18,0.012,0.62,0.0,0.53,0.0,0.0,0.0,96.418,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,3.33,3.33,258.764716139954,4.28215946285028,97.0,4.705151001374864
0.22,0.22,1.27,0.013,0.013,0.59,0.11,0.57,0.021,0.006,0.01,96.7756,0.0,0.0004,0.15,0.001,0.001,0.01,0.009,0.01,0.0,0.0,0.0,0.0,55.0,10.0,10.0,206.5020576131683,139.4557714285703,66.58,131.8797906428824
0.21,0.25,1.24,0.007,0.002,0.88,0.21,0.47,0.008,0.0,0.0,96.689,0.0,0.0,0.03,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-20.324846356453,125.131164742917,-14.0,426.3464433881589
